dataset_id,group,metaheuristic,msi_median,ari_median,k_median,eval_median,time_to_best_median
2-FACE,clust,brkga,0.5446804009027053,,2.0,20.0,49.405
2-FACE,clust,ils,0.5276891761160731,,2.0,20.0,46.425
2-FACE,clust,vns,0.534503176122731,,2.0,20.0,42.435
200DATA,clust,brkga,0.8052706067344885,,3.0,20.0,54.739999999999995
200DATA,clust,ils,0.8104512829257844,,3.0,20.0,51.355000000000004
200DATA,clust,vns,0.8105583003921208,,3.0,20.0,43.620000000000005
400P3C,clust,brkga,0.8232737828064585,,3.0,20.0,42.185
400P3C,clust,ils,0.8261131653880335,,3.0,20.0,43.980000000000004
400P3C,clust,vns,0.8231090872234919,,3.0,20.0,55.98
A1,clust,brkga,0.326626721747778,,11.0,20.0,31.03
A1,clust,ils,0.3899665168497092,,13.0,20.0,59.44
A1,clust,vns,0.39296254408696174,,16.0,20.0,60.715
AGGREGATION,classf,brkga,0.43715000000000004,0.65205,4.0,20.0,20.66
AGGREGATION,classf,ils,0.40733766311643416,0.7219311229612335,5.0,20.0,55.545
AGGREGATION,classf,vns,0.40854999999999997,0.6253,6.0,20.0,48.1
BANKNOTE,clust,brkga,0.33981309376990587,,3.0,20.0,33.785
BANKNOTE,clust,ils,0.3298401007974892,,7.0,20.0,50.86
BANKNOTE,clust,vns,0.3319905484629314,,6.5,20.0,53.86
BREASTB,clust,brkga,0.729456781661112,,1.0,20.0,16.915
BREASTB,clust,ils,0.7382573835904362,,1.0,20.0,36.185
BREASTB,clust,vns,0.7285012149483706,,1.0,20.0,27.15
BROKEN-RING,clust,brkga,0.43236851051239245,,6.0,20.0,30.655
BROKEN-RING,clust,ils,0.459739471434025,,6.0,20.0,55.595
BROKEN-RING,clust,vns,0.44477715015749586,,6.0,20.0,58.625
BUPA,clust,brkga,0.7122465530737991,,2.0,20.0,57.36
BUPA,clust,ils,0.7209011238600267,,2.0,20.0,46.025
BUPA,clust,vns,0.7199830641858617,,2.0,20.0,46.959999999999994
CHART,clust,brkga,0.3879224348616639,,3.0,20.0,32.46
CHART,clust,ils,0.4040485276890199,,3.5,20.0,55.755
CHART,clust,vns,0.3717945699821643,,4.0,20.0,48.045
COMPOUND,classf,brkga,0.608723204215488,0.722556368343227,3.0,20.0,48.09
COMPOUND,classf,ils,0.615749799685168,0.7382003439755176,3.0,20.0,58.025000000000006
COMPOUND,classf,vns,0.5480540948401509,0.7290262386963569,3.0,20.0,46.724999999999994
CONCRETEDATA,clust,brkga,0.3809,,3.0,20.0,31.245
