dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
2-FACE,clust,brkga,0,2.0,0.5651791019450051,,-0.554833,27.33,20.0,0.0
2-FACE,clust,brkga,1,2.0,0.5483288327526038,,-0.535308,46.36,20.0,0.0
2-FACE,clust,brkga,2,2.0,0.5744881972818069,,-0.56346,35.28,20.0,0.0
2-FACE,clust,brkga,3,2.0,0.5424369093878484,,-0.521131,24.52,20.0,0.0
2-FACE,clust,brkga,4,2.0,0.5354854296860188,,-0.526105,25.32,20.0,0.0
2-FACE,clust,brkga,5,2.0,0.5354854296860188,,-0.526105,57.23,20.0,0.0
2-FACE,clust,brkga,6,2.0,0.5644581536580304,,-0.553724,61.99,20.0,0.0
2-FACE,clust,brkga,7,2.0,0.5469238924175622,,-0.537765,27.73,20.0,0.0
2-FACE,clust,brkga,8,2.0,0.5363603332510261,,-0.530188,60.3,20.0,0.0
2-FACE,clust,brkga,9,2.0,0.5582440412769255,,-0.553273,61.36,20.0,0.0
2-FACE,clust,brkga,10,2.0,0.5584503994045992,,-0.548384,57.57,20.0,0.0
2-FACE,clust,brkga,11,2.0,0.5551284083910887,,-0.539807,30.07,20.0,0.0
2-FACE,clust,brkga,12,2.0,0.5363603332510261,,-0.530188,58.37,20.0,0.0
2-FACE,clust,brkga,13,2.0,0.540594539494774,,-0.531681,29.91,20.0,0.0
2-FACE,clust,brkga,14,2.0,0.540594539494774,,-0.531681,57.05,20.0,0.0
2-FACE,clust,brkga,15,2.0,0.5469238924175622,,-0.537765,57.94,20.0,0.0
2-FACE,clust,brkga,16,2.0,0.5370262953803072,,-0.513736,62.47,20.0,0.0
2-FACE,clust,brkga,17,2.0,0.5469238924175622,,-0.537765,52.45,20.0,0.0
2-FACE,clust,brkga,18,2.0,0.5341793689297276,,-0.5152,27.26,20.0,0.0
2-FACE,clust,brkga,19,2.0,0.522926382390639,,-0.512613,20.54,20.0,0.0
2-FACE,clust,ils,0,2.0,0.5313092368947857,,-0.518996,45.49,20.0,0.0
2-FACE,clust,ils,1,2.0,0.5103056482976226,,-0.495842,13.48,20.0,0.0
2-FACE,clust,ils,2,3.0,0.4843200401523908,,-0.516326,39.15,20.0,0.0
2-FACE,clust,ils,3,2.0,0.5240691153373607,,-0.502618,47.93,20.0,0.0
2-FACE,clust,ils,4,5.0,0.4416023902107296,,-0.455145,40.56,20.0,0.0
2-FACE,clust,ils,5,2.0,0.5456122735754652,,-0.534871,47.8,20.0,0.0
2-FACE,clust,ils,6,2.0,0.4865430661844766,,-0.480759,5.2,20.0,0.0
2-FACE,clust,ils,7,2.0,0.5644581536580304,,-0.553724,50.57,20.0,0.0
2-FACE,clust,ils,8,6.0,0.4374094594714267,,-0.448617,34.47,20.0,0.0
2-FACE,clust,ils,9,3.0,0.4933276638632116,,-0.511166,58.04,20.0,0.0
2-FACE,clust,ils,10,2.0,0.5454060815918522,,-0.533223,10.02,20.0,0.0
2-FACE,clust,ils,11,2.0,0.5763757605855854,,-0.561825,51.46,20.0,0.0
2-FACE,clust,ils,12,4.0,0.4337830300554389,,-0.440475,51.36,20.0,0.0
2-FACE,clust,ils,13,2.0,0.5464658307629303,,-0.530702,61.61,20.0,0.0
2-FACE,clust,ils,14,4.0,0.259209067800737,,-0.448738,42.98,20.0,0.0
2-FACE,clust,ils,15,2.0,0.5713190863047667,,-0.560296,28.48,20.0,0.0
2-FACE,clust,ils,16,2.0,0.5542274911640737,,-0.540533,61.18,20.0,0.0
2-FACE,clust,ils,17,2.0,0.5490918265658975,,-0.536262,41.78,20.0,0.0
2-FACE,clust,ils,18,4.0,0.3962590302640035,,-0.494688,56.4,20.0,0.0
2-FACE,clust,ils,19,2.0,0.5713190863047667,,-0.560296,47.36,20.0,0.0
2-FACE,clust,vns,0,2.0,0.5456122735754652,,-0.534871,55.25,20.0,0.0
2-FACE,clust,vns,1,2.0,0.5454060815918522,,-0.533223,60.9,20.0,0.0
2-FACE,clust,vns,2,2.0,0.5187813182485872,,-0.491772,57.26,20.0,0.0
2-FACE,clust,vns,3,2.0,0.5234908443644517,,-0.510223,8.91,20.0,0.0
2-FACE,clust,vns,4,2.0,0.5369065025015083,,-0.514493,19.69,20.0,0.0
2-FACE,clust,vns,5,2.0,0.5713190863047667,,-0.560296,38.51,20.0,0.0
2-FACE,clust,vns,6,2.0,0.57860867088948,,-0.566652,24.31,20.0,0.0
2-FACE,clust,vns,7,2.0,0.5644581536580304,,-0.553724,62.36,20.0,0.0
2-FACE,clust,vns,8,2.0,0.4014451069191134,,-0.532706,17.99,20.0,0.0
2-FACE,clust,vns,9,2.0,0.5542274911640737,,-0.540533,56.03,20.0,0.0
2-FACE,clust,vns,10,2.0,0.5320998497439539,,-0.522287,54.78,20.0,0.0
2-FACE,clust,vns,11,6.0,0.4386195318277106,,-0.462243,62.4,20.0,0.0
2-FACE,clust,vns,12,4.0,0.4140862408633344,,-0.491674,39.12,20.0,0.0
2-FACE,clust,vns,13,3.0,0.4638437661552965,,-0.473221,33.08,20.0,0.0
2-FACE,clust,vns,14,2.0,0.5595112051657876,,-0.542875,61.24,20.0,0.0
2-FACE,clust,vns,15,2.0,0.587794927316141,,-0.577054,30.7,20.0,0.0
2-FACE,clust,vns,16,3.0,0.4764988104073763,,-0.507799,42.99,20.0,0.0
2-FACE,clust,vns,17,2.0,0.5644581536580304,,-0.553724,50.39,20.0,0.0
2-FACE,clust,vns,18,2.0,0.5210051001402024,,-0.508046,41.88,20.0,0.0
2-FACE,clust,vns,19,2.0,0.5229578217823486,,-0.511112,13.43,20.0,0.0
200DATA,clust,brkga,0,3.0,0.8094963350239264,,-0.805732,63.22,20.0,0.0
200DATA,clust,brkga,1,3.0,0.8041874027423357,,-0.799508,40.5,20.0,0.0
200DATA,clust,brkga,2,3.0,0.8066000762527719,,-0.801995,56.02,20.0,0.0
200DATA,clust,brkga,3,3.0,0.8049425803805804,,-0.799107,58.3,20.0,0.0
200DATA,clust,brkga,4,3.0,0.8026552495310368,,-0.798537,45.87,20.0,0.0
200DATA,clust,brkga,5,3.0,0.8024646013485757,,-0.797497,55.3,20.0,0.0
200DATA,clust,brkga,6,3.0,0.8024370729558851,,-0.798632,54.5,20.0,0.0
200DATA,clust,brkga,7,3.0,0.8070786466767779,,-0.802125,31.08,20.0,0.0
200DATA,clust,brkga,8,3.0,0.8066462221860597,,-0.802495,54.98,20.0,0.0
200DATA,clust,brkga,9,3.0,0.8047280900300888,,-0.800103,25.94,20.0,0.0
200DATA,clust,brkga,10,3.0,0.8031808802795514,,-0.799148,49.87,20.0,0.0
200DATA,clust,brkga,11,3.0,0.8064946018598721,,-0.801297,31.72,20.0,0.0
200DATA,clust,brkga,12,3.0,0.8049756424830896,,-0.800676,60.61,20.0,0.0
200DATA,clust,brkga,13,3.0,0.8087012711272384,,-0.804298,53.82,20.0,0.0
200DATA,clust,brkga,14,3.0,0.8051695377732687,,-0.800617,62.14,20.0,0.0
200DATA,clust,brkga,15,3.0,0.800734060086573,,-0.797032,31.59,20.0,0.0
200DATA,clust,brkga,16,3.0,0.806076411704854,,-0.800982,52.66,20.0,0.0
200DATA,clust,brkga,17,3.0,0.8069429086471293,,-0.803003,59.56,20.0,0.0
200DATA,clust,brkga,18,3.0,0.8053716756957082,,-0.801292,59.64,20.0,0.0
200DATA,clust,brkga,19,3.0,0.8067105608150815,,-0.801627,60.7,20.0,0.0
200DATA,clust,ils,0,3.0,0.8274964560338885,,-0.823067,21.14,20.0,0.0
200DATA,clust,ils,1,3.0,0.81526955306075,,-0.813549,49.57,20.0,0.0
200DATA,clust,ils,2,3.0,0.81526955306075,,-0.813549,60.97,20.0,0.0
200DATA,clust,ils,3,3.0,0.8108899667776797,,-0.806706,62.55,20.0,0.0
200DATA,clust,ils,4,3.0,0.8104830323090128,,-0.80714,37.39,20.0,0.0
200DATA,clust,ils,5,3.0,0.8053376135669165,,-0.801157,40.42,20.0,0.0
200DATA,clust,ils,6,3.0,0.8051603830154713,,-0.800766,60.84,20.0,0.0
200DATA,clust,ils,7,3.0,0.8229837809260406,,-0.818206,60.99,20.0,0.0
200DATA,clust,ils,8,3.0,0.8090294340949625,,-0.806298,50.0,20.0,0.0
200DATA,clust,ils,9,3.0,0.8060780113819399,,-0.802206,27.39,20.0,0.0
200DATA,clust,ils,10,3.0,0.8095316332719057,,-0.807837,49.36,20.0,0.0
200DATA,clust,ils,11,3.0,0.8194500123469566,,-0.814442,30.16,20.0,0.0
200DATA,clust,ils,12,3.0,0.825592693980229,,-0.821632,57.97,20.0,0.0
200DATA,clust,ils,13,5.0,0.5081255338954711,,-0.796072,57.97,20.0,0.0
200DATA,clust,ils,14,3.0,0.8110137924063793,,-0.806761,39.88,20.0,0.0
200DATA,clust,ils,15,3.0,0.8065755276329429,,-0.804643,52.71,20.0,0.0
200DATA,clust,ils,16,3.0,0.8115930349374757,,-0.809,53.41,20.0,0.0
