dataset_id,group,msi_off,msi_on,msi_delta
200DATA,clust,0.8296380360370381,0.8270951157500215,-0.0025429202870166367
400P3C,clust,0.8240892799872347,0.8226946395373725,-0.00139464044986215
AGGREGATION,classf,0.4430472301795709,0.4056516838640094,-0.03739554631556147
BROKEN-RING,clust,0.5045075264707256,0.507077285708559,0.0025697592378334244
CHART,clust,0.3675755127895536,0.4127465708909359,0.04517105810138233
CONCRETEDATA,clust,0.4678078165656506,0.4676300958889049,-0.00017772067674570735
ECOLI,classf,0.585016398754323,0.5988012540487749,0.013784855294451948
FACE,clust,0.5646036582764349,0.5588022754989657,-0.005801382777469222
GAUSS9,clust,0.3475531362707935,0.3487451686690156,0.0011920323982221315
IRIS,classf,0.5078009033290748,0.5538539090590299,0.04605300572995508
JAIN,classf,0.5117504568831145,0.4926675801949412,-0.019082876688173267
OUTLIERS,clust,0.5758109265801993,0.5782685427046812,0.0024576161244819206
PIMA-INDIANS,classf,0.4368475024843232,0.5175590225838747,0.08071152009955146
RUSPINI,clust,0.7936438492899516,0.7935189130575678,-0.0001249362323837433
SONAR,clust,0.5685476875503651,0.5681426913033488,-0.0004049962470162871
TRIPADVISOR,clust,0.41264837697022,0.4172629347208743,0.00461455775065428
WAVEFORM21,clust,0.3711021950487024,0.3774876209452942,0.006385425896591801
WDBC,classf,0.5649409859381085,0.5754484446685888,0.010507458730480312
WINE,classf,0.5100363393657845,0.5575370633828088,0.04750072401702432
YEAST,classf,0.6343282401768385,0.655689575097971,0.021361334921132458
