dataset_id,group,q_learning,msi_median,ari_median,k_median,eval_median
200DATA,clust,False,0.8296380360370381,,3.0,20.0
200DATA,clust,True,0.8270951157500215,,3.0,20.0
400P3C,clust,False,0.8240892799872347,,3.0,20.0
400P3C,clust,True,0.8226946395373725,,3.0,20.0
AGGREGATION,classf,False,0.4430472301795709,0.711808903139204,5.0,20.0
AGGREGATION,classf,True,0.4056516838640094,0.5550695878342489,4.0,20.0
BROKEN-RING,clust,False,0.5045075264707256,,5.0,20.0
BROKEN-RING,clust,True,0.507077285708559,,5.0,20.0
CHART,clust,False,0.3675755127895536,,3.0,20.0
CHART,clust,True,0.4127465708909359,,3.0,20.0
CONCRETEDATA,clust,False,0.4678078165656506,,2.0,20.0
CONCRETEDATA,clust,True,0.4676300958889049,,2.0,20.0
ECOLI,classf,False,0.585016398754323,0.030160852534396,2.0,20.0
ECOLI,classf,True,0.5988012540487749,0.0292872221574382,2.0,20.0
FACE,clust,False,0.5646036582764349,,4.0,20.0
FACE,clust,True,0.5588022754989657,,5.0,20.0
GAUSS9,clust,False,0.3475531362707935,,8.0,20.0
GAUSS9,clust,True,0.3487451686690156,,7.0,20.0
IRIS,classf,False,0.5078009033290748,0.5097544098928156,3.0,20.0
IRIS,classf,True,0.5538539090590299,0.4973292113962737,3.0,20.0
JAIN,classf,False,0.5117504568831145,0.3406050170893068,3.0,20.0
JAIN,classf,True,0.4926675801949412,0.3134897011548994,4.0,20.0
OUTLIERS,clust,False,0.5758109265801993,,2.0,20.0
OUTLIERS,clust,True,0.5782685427046812,,2.0,20.0
PIMA-INDIANS,classf,False,0.4368475024843232,0.0133059243313746,2.0,20.0
PIMA-INDIANS,classf,True,0.5175590225838747,-0.0048712537311046,2.0,20.0
RUSPINI,clust,False,0.7936438492899516,,4.0,20.0
RUSPINI,clust,True,0.7935189130575678,,4.0,20.0
SONAR,clust,False,0.5685476875503651,,2.0,20.0
SONAR,clust,True,0.5681426913033488,,2.0,20.0
TRIPADVISOR,clust,False,0.41264837697022,,2.0,20.0
TRIPADVISOR,clust,True,0.4172629347208743,,2.0,20.0
WAVEFORM21,clust,False,0.3711021950487024,,6.0,20.0
WAVEFORM21,clust,True,0.3774876209452942,,5.0,20.0
WDBC,classf,False,0.5649409859381085,0.0025272944803964,2.0,20.0
WDBC,classf,True,0.5754484446685888,0.0020117519918919,2.0,20.0
WINE,classf,False,0.5100363393657845,0.0054172085726464,3.0,20.0
WINE,classf,True,0.5575370633828088,0.0013987320399025,2.0,20.0
YEAST,classf,False,0.6343282401768385,-0.0007092111220962,2.0,20.0
YEAST,classf,True,0.655689575097971,-0.0010394919424127,2.0,20.0
