dataset_id,group,q_learning,seed,k,msi,ari,internal_cost,eval_count,cache_hits
200DATA,clust,False,0,3,0.8271712394308052,,-0.8144,20,0
200DATA,clust,False,1,3,0.8310309848825465,,-0.816,20,0
200DATA,clust,False,2,3,0.8325600920090712,,-0.8147,20,0
200DATA,clust,False,3,3,0.8296380360370381,,-0.8119,20,0
200DATA,clust,False,4,3,0.826620929845886,,-0.812,20,0
200DATA,clust,True,0,3,0.8270951157500215,,-0.8099,20,0
200DATA,clust,True,1,3,0.8322669617978126,,-0.8178,20,0
200DATA,clust,True,2,3,0.8258164026764414,,-0.8125,20,0
200DATA,clust,True,3,3,0.8282459981550586,,-0.8161,20,0
200DATA,clust,True,4,3,0.8240092099614533,,-0.81,20,0
400P3C,clust,False,0,3,0.8240892799872347,,-0.8308,20,0
400P3C,clust,False,1,3,0.8265436379319948,,-0.8306,20,0
400P3C,clust,False,2,3,0.8225156883143437,,-0.8258,20,0
400P3C,clust,False,3,3,0.822483999095275,,-0.8261,20,0
400P3C,clust,False,4,3,0.8251336053874063,,-0.8319,20,0
400P3C,clust,True,0,3,0.8280914239236727,,-0.8292,20,0
400P3C,clust,True,1,3,0.8226946395373725,,-0.8288,20,0
400P3C,clust,True,2,3,0.8275303616764141,,-0.8272,20,0
400P3C,clust,True,3,3,0.8212624461204407,,-0.8254,20,0
400P3C,clust,True,4,3,0.8208211542333911,,-0.8252,20,0
BROKEN-RING,clust,False,0,5,0.5045075264707256,,-0.5043,20,0
BROKEN-RING,clust,False,1,5,0.5154709388972383,,-0.5154,20,0
BROKEN-RING,clust,False,2,11,0.47229000472610383,,-0.483,20,0
BROKEN-RING,clust,False,3,5,0.5200944480381205,,-0.52,20,0
BROKEN-RING,clust,False,4,8,0.4560797821449456,,-0.4594,20,0
BROKEN-RING,clust,True,0,6,0.44663571383601175,,-0.5112,20,0
BROKEN-RING,clust,True,1,5,0.507077285708559,,-0.5071,20,0
BROKEN-RING,clust,True,2,6,0.3943801468871014,,-0.508,20,0
BROKEN-RING,clust,True,3,5,0.5200482673240767,,-0.52,20,0
BROKEN-RING,clust,True,4,5,0.5093580625389423,,-0.5094,20,0
CHART,clust,False,0,4,0.36877382043430185,,-0.4391,20,0
CHART,clust,False,1,3,0.43710176006438267,,-0.4192,20,0
CHART,clust,False,2,2,0.29239506979275903,,-0.4497,20,0
CHART,clust,False,3,2,0.29563986172606976,,-0.4554,20,0
CHART,clust,False,4,4,0.3675755127895536,,-0.4379,20,0
CHART,clust,True,0,3,0.4127465708909359,,-0.4314,20,0
CHART,clust,True,1,3,0.44316871233148175,,-0.434,20,0
CHART,clust,True,2,3,0.42807590072358687,,-0.4365,20,0
CHART,clust,True,3,4,0.34729012484117394,,-0.4261,20,0
CHART,clust,True,4,2,0.29563986172606976,,-0.4554,20,0
CONCRETEDATA,clust,False,0,2,0.4840532544440698,,-0.4836,20,0
CONCRETEDATA,clust,False,1,3,0.3765161874686896,,-0.3852,20,0
CONCRETEDATA,clust,False,2,2,0.47022680265388844,,-0.4733,20,0
CONCRETEDATA,clust,False,3,2,0.42571681761354097,,-0.4152,20,0
CONCRETEDATA,clust,False,4,2,0.4678078165656506,,-0.4711,20,0
CONCRETEDATA,clust,True,0,2,0.4676300958889049,,-0.4719,20,0
CONCRETEDATA,clust,True,1,2,0.48978125216313106,,-0.4897,20,0
CONCRETEDATA,clust,True,2,2,0.47118048892338643,,-0.4688,20,0
CONCRETEDATA,clust,True,3,2,0.4645882473845216,,-0.4594,20,0
CONCRETEDATA,clust,True,4,3,0.33453417248143524,,-0.4731,20,0
FACE,clust,False,0,4,0.5646036582764349,,-0.5653,20,0
FACE,clust,False,1,5,0.569797242312606,,-0.571,20,0
FACE,clust,False,2,4,0.5572885197797175,,-0.5572,20,0
FACE,clust,False,3,4,0.5635357212966444,,-0.5635,20,0
FACE,clust,False,4,5,0.5674153859767441,,-0.5712,20,0
FACE,clust,True,0,5,0.5550858539336412,,-0.5574,20,0
FACE,clust,True,1,5,0.56525131814506,,-0.5725,20,0
FACE,clust,True,2,4,0.5643431041122628,,-0.5646,20,0
FACE,clust,True,3,4,0.5567277980364432,,-0.5582,20,0
FACE,clust,True,4,5,0.5588022754989657,,-0.5644,20,0
OUTLIERS,clust,False,0,1,,,-0.5554,20,0
OUTLIERS,clust,False,1,2,0.5758109265801993,,-0.5656,20,0
OUTLIERS,clust,False,2,1,,,-0.5538,20,0
OUTLIERS,clust,False,3,2,0.5782685427046812,,-0.5679,20,0
OUTLIERS,clust,False,4,2,0.5758109265801993,,-0.5656,20,0
OUTLIERS,clust,True,0,2,0.5782685427046812,,-0.5679,20,0
OUTLIERS,clust,True,1,2,0.5782685427046812,,-0.5679,20,0
OUTLIERS,clust,True,2,2,0.5758109265801993,,-0.5656,20,0
OUTLIERS,clust,True,3,2,0.5589627107345347,,-0.5556,20,0
OUTLIERS,clust,True,4,2,0.5782685427046812,,-0.5679,20,0
RUSPINI,clust,False,0,3,0.5949786727391052,,-0.7959,20,0
RUSPINI,clust,False,1,4,0.7936438492899516,,-0.792,20,0
RUSPINI,clust,False,2,4,0.7936438492899516,,-0.792,20,0
RUSPINI,clust,False,3,4,0.7936438492899516,,-0.792,20,0
RUSPINI,clust,False,4,3,0.5845509840690408,,-0.8006,20,0
RUSPINI,clust,True,0,4,0.7936438492899516,,-0.792,20,0
RUSPINI,clust,True,1,2,0.41699031106068735,,-0.801,20,0
RUSPINI,clust,True,2,4,0.7935189130575678,,-0.7912,20,0
RUSPINI,clust,True,3,4,0.7933346193331231,,-0.7944,20,0
RUSPINI,clust,True,4,4,0.7936438492899516,,-0.792,20,0
SONAR,clust,False,0,2,0.5681426913033488,,-0.5913,20,0
SONAR,clust,False,1,2,0.5755604165399354,,-0.6004,20,0
SONAR,clust,False,2,2,0.582834794161781,,-0.6098,20,0
SONAR,clust,False,3,2,0.5605925405165492,,-0.5761,20,0
SONAR,clust,False,4,2,0.5685476875503651,,-0.5885,20,0
SONAR,clust,True,0,2,0.5755604165399354,,-0.6004,20,0
SONAR,clust,True,1,2,0.5518376364107939,,-0.5684,20,0
SONAR,clust,True,2,2,0.5396369972589603,,-0.5621,20,0
SONAR,clust,True,3,2,0.5681426913033488,,-0.5913,20,0
SONAR,clust,True,4,2,0.5755604165399354,,-0.6004,20,0
TRIPADVISOR,clust,False,0,2,0.3956087252915038,,-0.4393,20,0
TRIPADVISOR,clust,False,1,2,0.41264837697022005,,-0.5114,20,0
TRIPADVISOR,clust,False,2,2,0.41004426139125616,,-0.5023,20,0
TRIPADVISOR,clust,False,3,2,0.4278048226811735,,-0.5173,20,0
TRIPADVISOR,clust,False,4,2,0.4217750250104995,,-0.5234,20,0
TRIPADVISOR,clust,True,0,2,0.4150124965728536,,-0.5129,20,0
TRIPADVISOR,clust,True,1,2,0.4150124965728536,,-0.5129,20,0
TRIPADVISOR,clust,True,2,2,0.4172629347208743,,-0.5168,20,0
TRIPADVISOR,clust,True,3,2,0.42439256384886725,,-0.5234,20,0
TRIPADVISOR,clust,True,4,2,0.4279508819209393,,-0.5235,20,0
WAVEFORM21,clust,False,0,6,0.32766284220739705,,-0.3169,20,0
WAVEFORM21,clust,False,1,6,0.3711021950487024,,-0.3773,20,0
WAVEFORM21,clust,False,2,4,0.3947849781958751,,-0.4189,20,0
WAVEFORM21,clust,False,3,4,0.38051761397948286,,-0.408,20,0
WAVEFORM21,clust,False,4,11,0.217000503379905,,-0.252,20,0
WAVEFORM21,clust,True,0,3,0.37748762094529426,,-0.3293,20,0
WAVEFORM21,clust,True,1,6,0.3054376939700977,,-0.2998,20,0
WAVEFORM21,clust,True,2,5,0.3829184027890098,,-0.3812,20,0
WAVEFORM21,clust,True,3,4,0.3840728433645844,,-0.4091,20,0
WAVEFORM21,clust,True,4,12,0.23803669085272872,,-0.2713,20,0
GAUSS9,clust,False,0,9,0.35361826027764326,,-0.3521,20,0
GAUSS9,clust,False,1,5,0.2998627285945481,,-0.365,20,0
GAUSS9,clust,False,2,10,0.3475531362707935,,-0.3598,20,0
GAUSS9,clust,False,3,8,0.34033241023744204,,-0.3722,20,0
GAUSS9,clust,False,4,3,0.362996668011552,,-0.3628,20,0
GAUSS9,clust,True,0,7,0.3487451686690156,,-0.35,20,0
GAUSS9,clust,True,1,7,0.3682787324529778,,-0.3672,20,0
GAUSS9,clust,True,2,3,0.3501320893519309,,-0.3496,20,0
GAUSS9,clust,True,3,7,0.28701482770041364,,-0.3778,20,0
GAUSS9,clust,True,4,5,0.28922823445522183,,-0.3557,20,0
AGGREGATION,classf,False,0,7,0.29622305953426686,0.7946651570102276,-0.4462,20,0
AGGREGATION,classf,False,1,4,0.3600002504310076,0.6345103435083818,-0.5007,20,0
AGGREGATION,classf,False,2,4,0.469626535890819,0.711808903139204,-0.4704,20,0
AGGREGATION,classf,False,3,5,0.4479240079332194,0.754095282303307,-0.4477,20,0
AGGREGATION,classf,False,4,5,0.44304723017957093,0.6906938198313014,-0.5283,20,0
AGGREGATION,classf,True,0,4,0.46811456409825425,0.6710354220511123,-0.4681,20,0
AGGREGATION,classf,True,1,4,0.4056516838640094,0.5550695878342489,-0.4953,20,0
AGGREGATION,classf,True,2,4,0.4012554246666376,0.5679800796287524,-0.4996,20,0
AGGREGATION,classf,True,3,3,0.4783849886912721,0.5405478040209688,-0.4777,20,0
AGGREGATION,classf,True,4,4,0.40305404371104986,0.5422720222610542,-0.491,20,0
ECOLI,classf,False,0,2,0.6077340351921394,0.02760823519084653,-0.6534,20,0
ECOLI,classf,False,1,2,0.5774874633852597,0.030160852534396047,-0.6183,20,0
ECOLI,classf,False,2,3,0.5758207203947263,0.6456220254981839,-0.5822,20,0
ECOLI,classf,False,3,2,0.5988012540487749,0.026136526794628124,-0.6398,20,0
ECOLI,classf,False,4,2,0.585016398754323,0.03130173568242349,-0.6296,20,0
ECOLI,classf,True,0,3,0.5603228718983162,0.6523264375628336,-0.5746,20,0
ECOLI,classf,True,1,2,0.595732430475578,0.032481575685305325,-0.6278,20,0
ECOLI,classf,True,2,2,0.6153578173550497,0.028593542216731833,-0.6518,20,0
ECOLI,classf,True,3,2,0.5988012540487749,0.026136526794628124,-0.6398,20,0
ECOLI,classf,True,4,2,0.6191150233025919,0.029287222157438227,-0.6685,20,0
IRIS,classf,False,0,3,0.5078009033290748,0.43585321267310484,-0.5336,20,0
IRIS,classf,False,1,4,0.4771104673056107,0.5097544098928156,-0.5319,20,0
IRIS,classf,False,2,2,0.6583026297993637,0.6288850678781183,-0.5312,20,0
IRIS,classf,False,3,3,0.551743246314448,0.5196652013194155,-0.5644,20,0
IRIS,classf,False,4,2,0.4273787792467323,0.2664039408866995,-0.5924,20,0
IRIS,classf,True,0,3,0.5538539090590299,0.4973292113962737,-0.5726,20,0
IRIS,classf,True,1,3,0.5574085664277677,0.51724948606841,-0.5735,20,0
IRIS,classf,True,2,3,0.5282041291868821,0.4958743334165329,-0.5471,20,0
IRIS,classf,True,3,2,0.6595362946770041,0.6406770633023412,-0.5347,20,0
IRIS,classf,True,4,3,0.5183198271450479,0.43979342295285867,-0.5566,20,0
JAIN,classf,False,0,3,0.5134328418652928,0.23776032467594593,-0.5025,20,0
JAIN,classf,False,1,3,0.5117504568831145,0.31164312037084907,-0.5263,20,0
JAIN,classf,False,2,3,0.5271025042413788,0.3468829463552873,-0.5289,20,0
JAIN,classf,False,3,4,0.4748034067548817,0.34060501708930685,-0.5176,20,0
JAIN,classf,False,4,3,0.4887633449127114,0.41554960693416815,-0.5237,20,0
JAIN,classf,True,0,3,0.49486405677725626,0.3218948311739037,-0.5127,20,0
JAIN,classf,True,1,4,0.4926675801949412,0.2906179252541475,-0.5273,20,0
JAIN,classf,True,2,4,0.4818856606477215,0.31026653419505396,-0.519,20,0
JAIN,classf,True,3,3,0.5148730093423681,0.35062220493550716,-0.5231,20,0
JAIN,classf,True,4,4,0.39127530869628,0.3134897011548994,-0.5206,20,0
PIMA-INDIANS,classf,False,0,2,0.4368475024843232,0.01330592433137467,-0.4239,20,0
PIMA-INDIANS,classf,False,1,2,0.3631631507563965,0.07220475299529289,-0.3788,20,0
PIMA-INDIANS,classf,False,2,4,0.39473896428955413,0.14223428076674804,-0.3998,20,0
PIMA-INDIANS,classf,False,3,2,0.4415771277743962,-0.003055090787745451,-0.4347,20,0
PIMA-INDIANS,classf,False,4,2,0.5027379128402336,-0.007057841791071416,-0.4902,20,0
PIMA-INDIANS,classf,True,0,2,0.5202478696163068,-0.00717413691631735,-0.5162,20,0
PIMA-INDIANS,classf,True,1,2,0.5205976259312448,-0.0073522900644388805,-0.5176,20,0
PIMA-INDIANS,classf,True,2,2,0.4874766487457258,-0.004871253731104627,-0.4681,20,0
PIMA-INDIANS,classf,True,3,3,0.3907607169758751,0.14878443022644014,-0.3938,20,0
PIMA-INDIANS,classf,True,4,2,0.5175590225838747,0.006755877475940741,-0.5089,20,0
WDBC,classf,False,0,2,0.5636412186277335,0.0005247105618234503,-0.6231,20,0
WDBC,classf,False,1,3,0.5585990779584727,0.019076205923602915,-0.6316,20,0
WDBC,classf,False,2,2,0.5649409859381085,0.0017831698285499858,-0.6272,20,0
WDBC,classf,False,3,2,0.580815014883546,0.0025580576543625137,-0.6305,20,0
WDBC,classf,False,4,2,0.5823537676273932,0.002527294480396491,-0.6353,20,0
WDBC,classf,True,0,2,0.5490775034503887,0.0020014736477934935,-0.6062,20,0
WDBC,classf,True,1,2,0.5725629569893064,0.002011751991891906,-0.629,20,0
WDBC,classf,True,2,2,0.5814029061344453,0.0023430120035298125,-0.6535,20,0
WDBC,classf,True,3,2,0.5807069963261561,0.0007479691093366779,-0.657,20,0
WDBC,classf,True,4,2,0.5754484446685888,0.00207570873311397,-0.6417,20,0
WINE,classf,False,0,4,0.5100363393657845,0.005417208572646496,-0.6148,20,0
WINE,classf,False,1,4,0.49414844703927524,0.006472342931852161,-0.6175,20,0
WINE,classf,False,2,2,-0.032747824130429246,0.0006158893943541907,-0.6433,20,0
WINE,classf,False,3,3,0.6068718036169501,0.006522302707094289,-0.6262,20,0
WINE,classf,False,4,2,0.5428308520099668,0.0005382409079145497,-0.6343,20,0
