dataset_id,group,best_seed,k_rko,msi_rko,ari_rko,k_dbscan_distk,msi_dbscan_distk,ari_dbscan_distk,msi_delta_distk,ari_delta_distk
2-FACE,clust,7,2,0.5830733971073783,,8,0.7086046721205631,,-0.12553127501318484,
200DATA,clust,13,3,0.8241560741136653,,3,0.8017708817758763,,0.022385192337789017,
400P3C,clust,4,3,0.834719237512585,,3,0.8152214798151354,,0.019497757697449658,
A1,clust,17,15,0.4423641274123972,,2,0.4152157982645691,,0.02714832914782811,
AGGREGATION,classf,3,4,0.5097398176115024,0.7076435336213841,33,0.5145299274214338,0.1773631054367266,-0.004790109809931331,0.5302804281846575
BANKNOTE,clust,11,2,0.4632524750774615,,2,0.455669223028423,,0.00758325204903848,
BREASTB,clust,0,2,0.7523556840402935,,3,0.7635198329498244,,-0.01116414890953088,
BROKEN-RING,clust,8,5,0.5208558580654813,,5,0.5002917827812726,,0.02056407528420867,
BUPA,clust,3,2,0.7480759273271923,,2,0.5433352841075761,,0.20474064321961616,
CHART,clust,4,3,0.4510641412245594,,12,0.3645535692187893,,0.08651057200577011,
COMPOUND,classf,13,3,0.6576228501197845,0.7622337995071721,3,0.6585096478935301,0.8149425152407124,-0.0008867977737455623,-0.0527087157335403
CONCRETEDATA,clust,16,2,0.4923574483309392,,2,0.4794961312090861,,0.012861317121853122,
DBLCA,clust,11,3,0.5408916503748762,,7,0.528561367223716,,0.012330283151160137,
DOWJONES,clust,5,2,0.6651689447353165,,2,0.6626312008627676,,0.002537743872548903,
ECOLI,classf,10,3,0.546261998255051,0.6973272620993173,2,0.5749444691421755,0.4084205183213933,-0.0286824708871245,0.28890674377792397
FACE,clust,18,4,0.5698310380540238,,5,0.8688425313892514,,-0.2990114933352276,
FLAME,classf,12,3,0.4981090569649318,0.6293129146132466,3,0.4010300481488537,0.7278373682493082,0.09707900881607812,-0.09852445363606166
FORESTFIRES,clust,10,2,0.6086876546592646,,6,0.3586103493542814,,0.2500773053049832,
GAMMA400,clust,18,2,0.6401873806151207,,3,0.2288897656407202,,0.41129761497440054,
GAUSS9,clust,4,10,0.3658152384623383,,31,0.5741771672267167,,-0.20836192876437842,
GLASS,classf,16,3,0.7057241408192048,0.1958218571626729,2,0.6792055993608199,0.1521959272832588,0.026518541458384837,0.043625929879414105
HABERMAN,classf,17,2,0.6580322655410349,0.0433267538821749,11,0.372771290406235,0.0069017030141155,0.28526097513479987,0.036425050868059396
HAYES-ROTH,clust,11,2,0.5734260681610684,,4,0.5323003807606691,,0.04112568740039935,
INDIAN,clust,2,2,0.7687450825607035,,2,0.5033977238590122,,0.26534735870169135,
IONOSPHERE,classf,8,3,0.592593752075629,0.1420067386986194,2,0.6670433637613662,0.2036782495941669,-0.07444961168573716,-0.06167151089554748
IRIS,classf,15,2,0.6360559605720943,0.6406770633023412,2,0.6370873746020763,0.590232655627751,-0.0010314140299819696,0.05044440767459024
JAIN,classf,5,3,0.5329699332293497,0.3153505662254546,20,0.4624994131165317,0.0104746155276878,0.07047052011281801,0.3048759506977668
MARONNA,clust,13,4,0.6518189670999649,,4,0.6008544122855575,,0.050964554814407426,
NEW-THYROID,classf,9,3,0.8623125626365159,0.0063861991203294,2,0.8043068700692606,0.0022970721393386,0.058005692567255296,0.004089126980990799
NUMBERS2,clust,10,8,0.5066197608267136,,19,0.6708938588126945,,-0.16427409798598092,
OUTLIERS,clust,13,2,0.5900728028845718,,4,0.5626116551316479,,0.027461147752923853,
PARKINSONS,clust,16,2,0.6420482725313601,,4,0.4346719449193884,,0.20737632761197172,
PATHBASED,classf,14,4,0.4772117107460054,0.4417388428373647,6,0.5811741915876899,0.955096556529445,-0.10396248084168452,-0.5133577136920804
PIMA-INDIANS,classf,7,2,0.4488354807521699,0.0064326918544161,2,0.4030699273522702,0.000995442014101,0.04576555339989968,0.0054372498403151
R15,classf,14,16,0.6870695044464914,0.9150462308552468,16,0.8019650502856142,0.9875460682646104,-0.11489554583912276,-0.07249983740936361
RUSPINI,clust,6,4,0.8013048178764944,,4,0.8481392602349683,,-0.04683444235847389,
SEEDS,classf,12,3,0.5362062892580356,0.6924193920754049,8,0.5622221858295434,0.510672902400055,-0.026015896571507824,0.1817464896753499
SONAR,clust,2,2,0.5593554024535655,,2,0.4122382154641354,,0.1471171869894301,
SPHERICAL4D3C,clust,10,10,0.4566510144717373,,15,0.5882386575238502,,-0.1315876430521129,
SPIRAL,classf,7,4,0.4087194145070999,-0.0044633109025112,3,0.8797008932805983,1.0,-0.4709814787734984,-1.0044633109025112
SPRDESP,clust,10,2,0.7145242132952148,,27,0.4819821739927163,,0.23254203930249845,
SYNTHETICCONTROL,clust,14,3,0.4465496218429771,,22,0.4445827015266594,,0.0019669203163176774,
TRIPADVISOR,clust,16,2,0.4691708240980231,,2,0.3193205625465791,,0.149850261551444,
UNIFORM400,clust,1,3,0.3937595144692979,,29,0.5579437467117293,,-0.1641842322424314,
UNIFORM700,clust,17,3,0.3732842472656338,,2,0.9358980906917528,,-0.562613843426119,
VOWEL2,clust,15,3,0.4480382914920883,,27,0.5011051315425051,,-0.05306684005041684,
WAVEFORM21,clust,14,4,0.4317852435579873,,209,0.354043821136748,,0.07774142242123933,
WDBC,classf,16,2,0.6534226532304673,0.0186270854005352,6,0.7799169102670098,-0.0001180776951233,-0.1264942570365425,0.0187451630956585
WINE,classf,11,3,0.6353539865801778,0.0068492217649593,9,0.5803621093162958,0.0138305699443358,0.054991877263881994,-0.0069813481793765
YEAST,classf,19,2,0.6808688491953235,-0.0006821984515828,2,0.5288687879562425,0.0028763673647323,0.15200006123908105,-0.0035585658163151
