dataset_id,group,algorithm,seed,k,msi,ari,k_star,rule,epsilon
200DATA,clust,DBSCAN-DistK,0,3,0.8017708817758763,,10,median,0.043256
2-FACE,clust,DBSCAN-DistK,0,8,0.7086046721205631,,3,median,0.034988
400P3C,clust,DBSCAN-DistK,0,3,0.8152214798151354,,4,pico20,0.044852
A1,clust,DBSCAN-DistK,0,2,0.41521579826456917,,3,max,0.056662
BANKNOTE,clust,DBSCAN-DistK,0,2,0.455669223028423,,10,pico20,0.059268
BREASTB,clust,DBSCAN-DistK,0,3,0.7635198329498244,,3,median,0.057999
BROKEN-RING,clust,DBSCAN-DistK,0,5,0.5002917827812726,,10,pico10,0.057247
BUPA,clust,DBSCAN-DistK,0,2,0.5433352841075761,,15,median,0.045461
CHART,clust,DBSCAN-DistK,0,12,0.3645535692187893,,4,median,0.024993
CONCRETEDATA,clust,DBSCAN-DistK,0,2,0.47949613120908613,,20,pico10,0.071994
DBLCA,clust,DBSCAN-DistK,0,7,0.528561367223716,,3,median,0.056618
DOWJONES,clust,DBSCAN-DistK,0,2,0.6626312008627676,,15,pico10,0.087106
FACE,clust,DBSCAN-DistK,0,5,0.8688425313892514,,4,pico10,0.022085
FORESTFIRES,clust,DBSCAN-DistK,0,6,0.35861034935428143,,10,median,0.034343
GAMMA400,clust,DBSCAN-DistK,0,3,0.2288897656407202,,20,median,0.053232
HAYES-ROTH,clust,DBSCAN-DistK,0,4,0.5323003807606691,,3,pico10,0.041103
INDIAN,clust,DBSCAN-DistK,0,2,0.5033977238590122,,3,pico10,0.034419
MARONNA,clust,DBSCAN-DistK,0,4,0.6008544122855575,,4,pico10,0.073323
NUMBERS2,clust,DBSCAN-DistK,0,19,0.6708938588126945,,3,median,0.014168
OUTLIERS,clust,DBSCAN-DistK,0,4,0.5626116551316479,,4,pico10,0.026117
PARKINSONS,clust,DBSCAN-DistK,0,4,0.43467194491938843,,10,median,0.066861
RUSPINI,clust,DBSCAN-DistK,0,4,0.8481392602349683,,3,median,0.062202
SONAR,clust,DBSCAN-DistK,0,2,0.41223821546413547,,10,pico20,0.097213
SPHERICAL4D3C,clust,DBSCAN-DistK,0,15,0.5882386575238502,,3,median,0.031671
SPRDESP,clust,DBSCAN-DistK,0,27,0.4819821739927163,,5,pico10,0.012323
SYNTHETICCONTROL,clust,DBSCAN-DistK,0,22,0.4445827015266594,,3,pico20,0.020834
TRIPADVISOR,clust,DBSCAN-DistK,0,2,0.3193205625465791,,20,median,0.042252
UNIFORM400,clust,DBSCAN-DistK,0,29,0.5579437467117293,,3,median,0.034963
UNIFORM700,clust,DBSCAN-DistK,0,2,0.9358980906917529,,3,pico20,0.014562
VOWEL2,clust,DBSCAN-DistK,0,27,0.5011051315425051,,3,median,0.023632
WAVEFORM21,clust,DBSCAN-DistK,0,209,0.35404382113674804,,3,median,0.008118
GAUSS9,clust,DBSCAN-DistK,0,31,0.5741771672267167,,3,pico10,0.016994
AGGREGATION,classf,DBSCAN-DistK,0,33,0.5145299274214338,0.1773631054367266,4,pico20,0.020045
COMPOUND,classf,DBSCAN-DistK,0,3,0.6585096478935301,0.8149425152407124,20,median,0.065713
GLASS,classf,DBSCAN-DistK,0,2,0.6792055993608199,0.15219592728325881,3,pico20,0.101875
ECOLI,classf,DBSCAN-DistK,0,2,0.5749444691421755,0.4084205183213933,4,pico10,0.034757
FLAME,classf,DBSCAN-DistK,0,3,0.4010300481488537,0.7278373682493082,4,median,0.059082
HABERMAN,classf,DBSCAN-DistK,0,11,0.372771290406235,0.006901703014115511,4,pico10,0.023694
IONOSPHERE,classf,DBSCAN-DistK,0,2,0.6670433637613662,0.2036782495941669,10,pico10,0.044055
IRIS,classf,DBSCAN-DistK,0,2,0.6370873746020763,0.590232655627751,5,pico10,0.084461
JAIN,classf,DBSCAN-DistK,0,20,0.4624994131165317,0.010474615527687815,3,median,0.026983
NEW-THYROID,classf,DBSCAN-DistK,0,2,0.8043068700692606,0.0022970721393386797,4,pico20,0.038324
PATHBASED,classf,DBSCAN-DistK,0,6,0.5811741915876899,0.955096556529445,4,median,0.045725
PIMA-INDIANS,classf,DBSCAN-DistK,0,2,0.40306992735227026,0.0009954420141010283,4,pico10,0.04767
R15,classf,DBSCAN-DistK,0,16,0.8019650502856142,0.9875460682646103,3,pico10,0.016455
SEEDS,classf,DBSCAN-DistK,0,8,0.5622221858295434,0.510672902400055,3,median,0.049147
SPIRAL,classf,DBSCAN-DistK,0,3,0.8797008932805983,1.0,3,pico10,0.01469
WDBC,classf,DBSCAN-DistK,0,6,0.7799169102670098,-0.0001180776951233912,3,pico10,0.007803
WINE,classf,DBSCAN-DistK,0,9,0.5803621093162958,0.013830569944335857,3,median,0.043317
YEAST,classf,DBSCAN-DistK,0,2,0.5288687879562425,0.0028763673647323714,4,pico20,0.041316
