dataset_id,k_true,k_rko,k_dbscan_distk,err_rko,err_dbscan_distk,rko_correct,dbscan_correct,rko_within1,dbscan_within1,closer
AGGREGATION,7,4,33,3,26,False,False,False,False,rko
COMPOUND,6,3,3,3,3,False,False,False,False,tie
ECOLI,8,3,2,5,6,False,False,False,False,rko
FLAME,2,3,3,1,1,False,False,True,True,tie
GLASS,6,3,2,3,4,False,False,False,False,rko
HABERMAN,2,2,11,0,9,True,False,True,False,rko
IONOSPHERE,2,3,2,1,0,False,True,True,True,dbscan
IRIS,3,2,2,1,1,False,False,True,True,tie
JAIN,2,3,20,1,18,False,False,True,False,rko
NEW-THYROID,3,3,2,0,1,True,False,True,True,rko
PATHBASED,3,4,6,1,3,False,False,True,False,rko
PIMA-INDIANS,2,2,2,0,0,True,True,True,True,tie
R15,15,16,16,1,1,False,False,True,True,tie
SEEDS,3,3,8,0,5,True,False,True,False,rko
SPIRAL,3,4,3,1,0,False,True,True,True,dbscan
WDBC,2,2,6,0,4,True,False,True,False,rko
WINE,3,3,9,0,6,True,False,True,False,rko
YEAST,10,2,2,8,8,False,False,False,False,tie
