dataset_id,group,metric,method_code,method_label,comparison_label,gap_raw,gap_pct
2-FACE,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.1639242712178578,-23.13338842761221
200DATA,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.0034997249586121715,0.43649938382153297
400P3C,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.00805230299132309,0.9877442131614442
A1,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.0885890765167911,-21.33567096605113
AGGREGATION,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.07737992742143379,-15.03895561706648
BANKNOTE,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.11585612925851718,-25.42548923724227
BREASTB,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.03406305128871234,-4.461318464657464
BROKEN-RING,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.06792327226888023,-13.576731540796915
BUPA,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.168911268966223,31.087851996149745
CHART,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.023368865642874603,6.41026933104847
COMPOUND,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.04978644367804208,-7.560472931156161
CONCRETEDATA,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.09859613120908606,-20.56244561566501
DBLCA,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.018549154069402496,-3.5093662192589794
DOWJONES,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.02768229733815175,-4.177632641220106
ECOLI,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.21375487913485197,-37.17835210307823
FACE,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.3229560334508865,-37.170836116239634
FLAME,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.0031471902988453038,0.7847766802943242
FORESTFIRES,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.1472025277641018,41.04804226346413
GAMMA400,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.3604321545045944,157.4697555810999
GAUSS9,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.25742716722671677,-44.83410033005899
GLASS,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.029507396768368777,-4.344398337725322
HABERMAN,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.2209154921214429,59.26301134422015
HAYES-ROTH,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.08196329157997179,-15.397939686393688
INDIAN,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.2033739664630052,40.4002554687682
IONOSPHERE,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.11870205526749533,-17.79525315987715
IRIS,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.08181864598323307,-12.842609859336305
JAIN,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.0334752378220749,7.237898443265797
MARONNA,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.03363067851544366,-5.597142640180962
NEW-THYROID,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.01624340242894906,2.01955286389016
NUMBERS2,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.2401447858108276,-35.79475093658193
OUTLIERS,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.002348285635852543,-0.4173901508142517
PARKINSONS,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.18243269267183565,41.97020185088516
PATHBASED,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.1432946436832926,-24.65605764286106
PIMA-INDIANS,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.007309837943508313,-1.8135408889286224
R15,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.15778233058833224,-19.67446468298577
RUSPINI,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.0698579940395675,-8.236618361495735
SEEDS,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.09827686657953583,-17.48007621480305
SONAR,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.06871199161366698,16.66803053091639
SPHERICAL4D3C,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.21217758007281068,-36.06998237177364
SPIRAL,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.5232802168048423,-59.48387921415142
SPRDESP,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.013075302588522797,2.7128187086687547
SYNTHETICCONTROL,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.10045668585923961,-22.595725275472898
TRIPADVISOR,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,0.030991711672245237,9.705517059436
UNIFORM400,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.21914374671172931,-39.27703249714052
UNIFORM700,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.6307480906917529,-67.39495431874921
VOWEL2,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.12225513154250511,-24.397102293919552
WAVEFORM21,clust,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.15211135978878548,-42.96399222570618
WDBC,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.2363237357156709,-30.301142673616845
WINE,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.038821953362394135,-6.689263950764965
YEAST,classf,MSI,brkga,BRKGA,BRKGA vs DBSCAN,-0.03531200704615467,-6.676893749509058
AGGREGATION,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.4746868945632734,267.6356468806956
COMPOUND,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.09238614689748537,-11.336523149758232
ECOLI,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.3782548761451102,-92.61407279431901
FLAME,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.12858381168412691,-17.666558120451263
GLASS,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.033434835406247615,21.96828522488681
HABERMAN,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.029829031752676902,432.1981356147892
IONOSPHERE,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.06446679326093169,-31.6512899091499
IRIS,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.06285190332671775,-10.648665865474802
JAIN,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.2911828771314916,2779.8908357237647
NEW-THYROID,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.00025205789372219995,-10.973007308110725
PATHBASED,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.5786765704810936,-60.58827942840074
PIMA-INDIANS,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.0346274225691789,3478.597655982152
R15,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.7260503905799016,-73.52066034304319
SEEDS,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.08323717389718877,16.299508649468493
SPIRAL,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-1.0049232518985936,-100.49232518985936
WDBC,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,0.0015229269930901999,1289.7668704490864
WINE,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.0075878021253294,-54.86254113798776
YEAST,classf,ARI_CLASSF,brkga,BRKGA,BRKGA vs DBSCAN,-0.0035666030527307995,-123.99678484958541
2-FACE,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.1741014959978321,-24.569622929075212
200DATA,clust,MSI,vns,VNS,VNS vs DBSCAN,0.008787418616244547,1.096001216305202
400P3C,clust,MSI,vns,VNS,VNS vs DBSCAN,0.007887607408356478,0.9675416563048757
A1,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.02225325417760743,-5.359443034349092
AGGREGATION,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.10597992742143386,-20.597427238596627
BANKNOTE,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.12367867456549159,-27.14220498446457
BREASTB,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.03501861800145378,-4.586471299135863
BROKEN-RING,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.055514632623776816,-11.096451018074745
BUPA,clust,MSI,vns,VNS,VNS vs DBSCAN,0.17664778007828552,32.51174463451754
CHART,clust,MSI,vns,VNS,VNS vs DBSCAN,0.007241000763375027,1.9862652226645165
COMPOUND,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.11045555305337917,-16.773566402057934
CONCRETEDATA,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.11054613120908607,-23.05464507718458
DBLCA,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.021014185959533194,-3.975732481151775
DOWJONES,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.029686939159726422,-4.480160173724547
ECOLI,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.14950922295193614,-26.00411534961034
FACE,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.3182570340641705,-36.63000170529033
FLAME,classf,MSI,vns,VNS,VNS vs DBSCAN,0.021346600791749937,5.322942979032469
FORESTFIRES,clust,MSI,vns,VNS,VNS vs DBSCAN,0.1957296679055427,54.580038824305035
GAMMA400,clust,MSI,vns,VNS,VNS vs DBSCAN,0.35845671409204416,156.60670239607848
GAUSS9,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.25136703640505437,-43.77865417727432
GLASS,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.024238202140976273,-3.568610471378051
HABERMAN,classf,MSI,vns,VNS,VNS vs DBSCAN,0.21653659764639932,58.088324723297276
HAYES-ROTH,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.043950759550417995,-8.256758991532447
INDIAN,clust,MSI,vns,VNS,VNS vs DBSCAN,0.25602901644831033,50.860185557775196
IONOSPHERE,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.10218515056045718,-15.319116584002742
IRIS,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.00458047495155034,-0.7189712328566072
JAIN,classf,MSI,vns,VNS,VNS vs DBSCAN,0.033547218877557294,7.253461934470544
