dataset_id,group,algorithm,seed,k,msi,ari,internal_cost
200DATA,clust,ClustGrade-RKO,0,3,0.8146218341066892,,-0.809
200DATA,clust,ClustGrade-RKO,1,3,0.8144032116800263,,-0.8124
200DATA,clust,ClustGrade-RKO,2,3,0.8138845954225997,,-0.8136
200DATA,clust,ClustGrade-RKO,3,3,0.813188261871345,,-0.812
200DATA,clust,ClustGrade-RKO,4,3,0.8121724404384538,,-0.8079
200DATA,clust,ClustGrade-RKO,5,3,0.8109345609202464,,-0.81
200DATA,clust,ClustGrade-RKO,6,3,0.8138045097302244,,-0.8126
200DATA,clust,ClustGrade-RKO,7,3,0.8105210590264639,,-0.8092
200DATA,clust,ClustGrade-RKO,8,3,0.8192356510868437,,-0.8156
200DATA,clust,ClustGrade-RKO,9,3,0.8162718273249496,,-0.8111
200DATA,clust,ClustGrade-RKO,10,3,0.8139780477658533,,-0.8093
200DATA,clust,ClustGrade-RKO,11,3,0.8092346644907856,,-0.8076
200DATA,clust,ClustGrade-RKO,12,3,0.8145423348969995,,-0.8131
200DATA,clust,ClustGrade-RKO,13,3,0.8241560741136653,,-0.8197
200DATA,clust,ClustGrade-RKO,14,3,0.8168806743122974,,-0.8137
200DATA,clust,ClustGrade-RKO,15,3,0.8146005898216244,,-0.8144
200DATA,clust,ClustGrade-RKO,16,3,0.8162764323652116,,-0.815
200DATA,clust,ClustGrade-RKO,17,3,0.8058970944227684,,-0.8026
200DATA,clust,ClustGrade-RKO,18,3,0.8169605682236177,,-0.8158
200DATA,clust,ClustGrade-RKO,19,3,0.8140918345761804,,-0.8124
2-FACE,clust,ClustGrade-RKO,0,2,0.5469238924175622,,-0.5378
2-FACE,clust,ClustGrade-RKO,1,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,2,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,3,2,0.5717452219205102,,-0.563
2-FACE,clust,ClustGrade-RKO,4,2,0.5736840027876644,,-0.5653
2-FACE,clust,ClustGrade-RKO,5,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,6,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,7,2,0.5830733971073783,,-0.5717
2-FACE,clust,ClustGrade-RKO,8,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,9,2,0.5736840027876644,,-0.5653
2-FACE,clust,ClustGrade-RKO,10,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,11,2,0.5760242530860239,,-0.5645
2-FACE,clust,ClustGrade-RKO,12,2,0.5808119129554792,,-0.5691
2-FACE,clust,ClustGrade-RKO,13,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,14,2,0.57860867088948,,-0.5667
2-FACE,clust,ClustGrade-RKO,15,2,0.5789870169964728,,-0.5687
2-FACE,clust,ClustGrade-RKO,16,2,0.5713190863047667,,-0.5603
2-FACE,clust,ClustGrade-RKO,17,2,0.5758029631249001,,-0.5664
2-FACE,clust,ClustGrade-RKO,18,2,0.5808119129554792,,-0.5691
2-FACE,clust,ClustGrade-RKO,19,2,0.5760218643575121,,-0.5674
400P3C,clust,ClustGrade-RKO,0,4,0.7578609551746036,,-0.8302
400P3C,clust,ClustGrade-RKO,1,3,0.8330632211768195,,-0.8283
400P3C,clust,ClustGrade-RKO,2,3,0.8327977014239432,,-0.8308
400P3C,clust,ClustGrade-RKO,3,3,0.8328616831473913,,-0.8296
400P3C,clust,ClustGrade-RKO,4,3,0.834719237512585,,-0.8291
400P3C,clust,ClustGrade-RKO,5,3,0.8233433999059588,,-0.8201
400P3C,clust,ClustGrade-RKO,6,3,0.8290728182480824,,-0.8247
400P3C,clust,ClustGrade-RKO,7,3,0.8310023103606331,,-0.8297
400P3C,clust,ClustGrade-RKO,8,3,0.8316394612590983,,-0.8248
400P3C,clust,ClustGrade-RKO,9,3,0.8296069366501483,,-0.8257
400P3C,clust,ClustGrade-RKO,10,4,0.7658384106040387,,-0.8267
400P3C,clust,ClustGrade-RKO,11,3,0.8327681710040286,,-0.8265
400P3C,clust,ClustGrade-RKO,12,3,0.8309292627624567,,-0.8243
400P3C,clust,ClustGrade-RKO,13,3,0.8332410271905537,,-0.828
400P3C,clust,ClustGrade-RKO,14,3,0.8331855872248226,,-0.8308
400P3C,clust,ClustGrade-RKO,15,3,0.8302012285331029,,-0.8239
400P3C,clust,ClustGrade-RKO,16,3,0.8305149146458178,,-0.8283
400P3C,clust,ClustGrade-RKO,17,3,0.8309673611400222,,-0.825
400P3C,clust,ClustGrade-RKO,18,3,0.8283642769699375,,-0.8258
400P3C,clust,ClustGrade-RKO,19,3,0.8268980344015574,,-0.8236
A1,clust,ClustGrade-RKO,0,13,0.37763891427466784,,-0.3874
A1,clust,ClustGrade-RKO,1,14,0.38182792137044347,,-0.375
A1,clust,ClustGrade-RKO,2,7,0.38394984854893677,,-0.3754
A1,clust,ClustGrade-RKO,3,18,0.4183762730316328,,-0.4187
A1,clust,ClustGrade-RKO,4,17,0.42948477446115557,,-0.4173
A1,clust,ClustGrade-RKO,5,4,0.40484156959575535,,-0.4081
A1,clust,ClustGrade-RKO,6,11,0.3911361168552378,,-0.4144
A1,clust,ClustGrade-RKO,7,6,0.42931056825892017,,-0.4368
A1,clust,ClustGrade-RKO,8,5,0.40232529852189414,,-0.4
A1,clust,ClustGrade-RKO,9,13,0.4023928490516146,,-0.412
A1,clust,ClustGrade-RKO,10,11,0.36835619491267707,,-0.3547
A1,clust,ClustGrade-RKO,11,20,0.3883061950728441,,-0.396
A1,clust,ClustGrade-RKO,12,20,0.37234332349827115,,-0.3654
A1,clust,ClustGrade-RKO,13,18,0.4093897434516338,,-0.412
A1,clust,ClustGrade-RKO,14,15,0.3593359436006627,,-0.3854
A1,clust,ClustGrade-RKO,15,6,0.41620892214491223,,-0.4179
A1,clust,ClustGrade-RKO,16,22,0.37700989109579314,,-0.3661
A1,clust,ClustGrade-RKO,17,15,0.4423641274123972,,-0.4405
A1,clust,ClustGrade-RKO,18,5,0.39715168896380393,,-0.3931
A1,clust,ClustGrade-RKO,19,7,0.3767107777988304,,-0.3855
