dataset_id,group,raw_path,delimiter,has_header,has_label,label_col,subset_7,notes
200DATA,clust,data/raw/clust/CLUST_200DATA.csv,;,false,false,,false,2D synthetic
2-FACE,clust,data/raw/clust/subset/CLUST_2FACE.csv,;,false,false,,true,2D synthetic face shape
400P3C,clust,data/raw/clust/CLUST_400p3c.csv,;,false,false,,false,
A1,clust,data/raw/clust/CLUST_A1.csv,;,false,false,,false,
BANKNOTE,clust,data/raw/clust/CLUST_BanknoteAuthentication.csv,;,false,false,,false,
BREASTB,clust,data/raw/clust/CLUST_BreastB.csv,;,false,false,,false,
BROKEN-RING,clust,data/raw/clust/subset/CLUST_BrokenRing.csv,;,false,false,,true,
BUPA,clust,data/raw/clust/subset/CLUST_Bupa.csv,;,false,false,,true,
CHART,clust,data/raw/clust/CLUST_Chart.csv,;,false,false,,false,
CONCRETEDATA,clust,data/raw/clust/CLUST_ConcreteData.csv,;,false,false,,false,
DBLCA,clust,data/raw/clust/CLUST_DBLCA.csv,;,false,false,,false,
DOWJONES,clust,data/raw/clust/CLUST_DownJones.csv,;,false,false,,false,
FACE,clust,data/raw/clust/CLUST_Face.csv,;,false,false,,false,
FORESTFIRES,clust,data/raw/clust/subset/CLUST_ForestFires.csv,;,false,false,,true,Multidimensional; already standardized in raw file
GAMMA400,clust,data/raw/clust/CLUST_Gamma400.csv,;,false,false,,false,
HAYES-ROTH,clust,data/raw/clust/CLUST_HayesRoth.csv,;,false,false,,false,
INDIAN,clust,data/raw/clust/CLUST_Indian.csv,;,false,false,,false,
MARONNA,clust,data/raw/clust/CLUST_Maronna.csv,;,false,false,,false,
NUMBERS2,clust,data/raw/clust/CLUST_Numbers2.csv,;,false,false,,false,
OUTLIERS,clust,data/raw/clust/CLUST_Outliers.csv,;,false,false,,false,
PARKINSONS,clust,data/raw/clust/CLUST_Parkinsons.csv,;,false,false,,false,
RUSPINI,clust,data/raw/clust/CLUST_Ruspini.csv,;,false,false,,false,
SONAR,clust,data/raw/clust/CLUST_Sonar.csv,;,false,false,,false,
SPHERICAL4D3C,clust,data/raw/clust/CLUST_Spherical4d3c.csv,;,false,false,,false,
SPRDESP,clust,data/raw/clust/CLUST_SPRDESP.csv,;,false,false,,false,
SYNTHETICCONTROL,clust,data/raw/clust/CLUST_SyntheticControl.csv,;,false,false,,false,
TRIPADVISOR,clust,data/raw/clust/CLUST_TRIPADVISOR.csv,;,false,false,,false,
UNIFORM400,clust,data/raw/clust/CLUST_Uniform400.csv,;,false,false,,false,
UNIFORM700,clust,data/raw/clust/subset/CLUST_Uniform700.csv,;,false,false,,true,
VOWEL2,clust,data/raw/clust/subset/CLUST_Vowel2.csv,;,false,false,,true,
WAVEFORM21,clust,data/raw/clust/CLUST_Waveform.csv,;,false,false,,false,
GAUSS9,clust,data/raw/clust/subset/CLUST_Gauss9.csv,;,false,false,,true,
AGGREGATION,classf,data/raw/classf/CLASSF_Aggregation.txt,auto,false,true,last,false,
COMPOUND,classf,data/raw/classf/CLASSF_Compound.txt,auto,false,true,last,false,
GLASS,classf,data/raw/classf/CLASSF_glass.txt,auto,false,true,last,false,
ECOLI,classf,data/raw/classf/CLASSF_ecoli.csv,auto,false,true,last,false,
FLAME,classf,data/raw/classf/CLASSF_flame.txt,auto,false,true,last,false,
HABERMAN,classf,data/raw/classf/CLASSF_Haberman.csv,auto,false,true,last,false,
IONOSPHERE,classf,data/raw/classf/CLASSF_ionosphere.txt,auto,false,true,last,false,
IRIS,classf,data/raw/classf/CLASSF_iris.txt,auto,false,true,last,false,
JAIN,classf,data/raw/classf/CLASSF_jain.txt,auto,false,true,last,false,
NEW-THYROID,classf,data/raw/classf/CLASSF_new-thyroid.txt,auto,false,true,last,false,
PATHBASED,classf,data/raw/classf/CLASSF_pathbased.txt,auto,false,true,last,false,
PIMA-INDIANS,classf,data/raw/classf/CLASSF_PimaIndians.csv,auto,true,true,last,false,
R15,classf,data/raw/classf/CLASSF_R15.txt,auto,false,true,last,false,
SEEDS,classf,data/raw/classf/CLASSF_seeds_dataset.csv,auto,false,true,last,false,
SPIRAL,classf,data/raw/classf/CLASSF_spiral.txt,auto,false,true,last,false,
WDBC,classf,data/raw/classf/CLASSF_wdbc.txt,auto,false,true,1,false,
WINE,classf,data/raw/classf/CLASSF_wine.txt,auto,false,true,last,false,
YEAST,classf,data/raw/classf/CLASSF_yeast.csv,auto,false,true,last,false,
